block,plot,precipitation,species,replicate,func_group,life_history,early_late,forb_grass,gdd,first_flower_mean,fruit
1,1,50,BI,5,C4,perennial,late,grass,3810.8,263,35
1,1,50,CM,1,C3,annual,early,forb,3061.3,184,5
1,1,50,CS,1,C3,perennial,early,forb,862.25,139,2
1,1,50,ES,1,C3,annual,early,forb,1383.5,133,5
1,1,50,SC,1,C4,perennial,late,grass,3662.55,290,2
1,1,50,SN,1,C4,perennial,late,grass,3061.3,263,5
1,1,50,SS,1,C4,perennial,late,grass,3594.5,262,2
2,10,-20,AP,4,C3,perennial,late,forb,4343.1,259,4
2,10,-20,BI,4,C4,perennial,late,grass,4779,200,72
2,10,-20,CF,4,C3,annual,early,forb,3438.9,201,6
2,10,-20,CM,1,C3,annual,early,forb,4156.75,194,17
2,10,-20,CS,1,C3,perennial,early,forb,1995.25,143,5
2,10,-20,DO,1,C3,perennial,early,grass,2407.55,142,2
2,10,-20,SE,3,C3,perennial,late,forb,4779,273,59
2,10,-20,SN,2,C4,perennial,late,grass,4261.55,273,1
2,10,-20,SS,2,C4,perennial,late,grass,4951,257,3
2,11,50,AP,5,C3,perennial,late,forb,1880.7,242,4
2,11,50,CF,1,C3,annual,early,forb,921.6,201,7
2,11,50,CS,1,C3,perennial,early,forb,136.05,143,61
2,11,50,DO,3,C3,perennial,early,grass,353.95,138,2
2,11,50,ES,1,C3,annual,early,forb,136.05,150,12
2,11,50,SC,1,C4,perennial,late,grass,2182.45,259,1
2,11,50,SE,1,C3,perennial,late,forb,2285.15,245,90
2,11,50,SN,2,C4,perennial,late,grass,1957.35,260,3
2,11,50,SS,3,C4,perennial,late,grass,2315.15,238,20
2,12,-60,AP,5,C3,perennial,late,forb,3703.3,238,11
2,12,-60,CF,4,C3,annual,early,forb,2139.75,201,6
2,12,-60,CS,2,C3,perennial,early,forb,1278.95,147,7
2,12,-60,DO,1,C3,perennial,early,grass,929.2,133,1
2,12,-60,ES,1,C3,annual,early,forb,1539.2,150,13
2,12,-60,SE,4,C3,perennial,late,forb,3994.15,297,74
2,12,-60,SN,2,C4,perennial,late,grass,3573.2,264,1
2,12,-60,SS,3,C4,perennial,late,grass,3822.95,262,2
2,13,0,CS,5,C3,perennial,early,forb,950.1,150,7
2,13,0,DO,4,C3,perennial,early,grass,950.1,139,2
2,13,0,ES,1,C3,annual,early,forb,950.1,136,18
2,13,0,SE,4,C3,perennial,late,forb,3532.2,283,77
2,13,0,SN,1,C4,perennial,late,grass,3395.4,266,2
2,13,0,SS,5,C4,perennial,late,grass,3532.2,264,4
2,14,-100,CS,2,C3,perennial,early,forb,1224.65,143,6
2,14,-100,ES,1,C3,annual,early,forb,1420.9,145,18
2,14,-100,SE,5,C3,perennial,late,forb,4431.75,294,11
2,14,-100,SN,1,C4,perennial,late,grass,3874.1,266,1
2,14,-100,SS,4,C4,perennial,late,grass,4051.95,259,3
3,15,-80,AP,2,C3,perennial,late,forb,3384.95,276,8
3,15,-80,CM,4,C3,annual,early,forb,3314.45,178,27
3,15,-80,DO,2,C3,perennial,early,grass,1499.4,133,2
3,15,-80,ES,1,C3,annual,early,forb,1015.8,147,8
3,15,-80,SE,3,C3,perennial,late,forb,3384.95,265,46
3,16,-100,CM,5,C3,annual,early,forb,3864.2,184,10
3,16,-100,CS,1,C3,perennial,early,forb,1124.9,147,30
3,16,-100,DO,2,C3,perennial,early,grass,1055.75,158,1
3,16,-100,ES,1,C3,annual,early,forb,1295.45,143,6
3,16,-100,SE,5,C3,perennial,late,forb,4122,222,71
3,16,-100,SS,4,C4,perennial,late,grass,3864.2,273,1
3,17,0,AP,2,C3,perennial,late,forb,2815,249,4
3,17,0,CF,1,C3,annual,early,forb,2219.25,206,2
3,17,0,CM,4,C3,annual,early,forb,2815,195,23
3,17,0,CS,1,C3,perennial,early,forb,1046.05,133,23
3,17,0,DO,2,C3,perennial,early,grass,1121.8,134,2
3,17,0,ES,1,C3,annual,early,forb,1262.95,133,5
3,17,0,SE,1,C3,perennial,late,forb,2855.6,284,18
3,17,0,SN,2,C4,perennial,late,grass,2815,266,5
3,17,0,SS,5,C4,perennial,late,grass,2833.85,263,11
3,18,-20,AP,1,C3,perennial,late,forb,3913.8,245,11
3,18,-20,CF,2,C3,annual,early,forb,4141.35,206,6
3,18,-20,CM,4,C3,annual,early,forb,3913.8,192,110
3,18,-20,CS,2,C3,perennial,early,forb,1273.8,154,72
3,18,-20,DO,1,C3,perennial,early,grass,1515.95,135,2
3,18,-20,ES,1,C3,annual,early,forb,1273.8,133,37
3,18,-20,SE,1,C3,perennial,late,forb,3913.8,287,11
3,18,-20,SN,2,C4,perennial,late,grass,3913.8,263,4
3,18,-20,SS,5,C4,perennial,late,grass,4372.6,266,5
3,19,-60,CF,3,C3,annual,early,forb,3029.95,252,1
3,19,-60,CM,2,C3,annual,early,forb,3236.8,189,31
3,19,-60,CS,2,C3,perennial,early,forb,805.5,140,9
3,19,-60,DO,3,C3,perennial,early,grass,1573.55,137,3
3,19,-60,ES,1,C3,annual,early,forb,1098.45,134,13
3,19,-60,SE,1,C3,perennial,late,forb,3582.5,271,8
3,19,-60,SN,3,C4,perennial,late,grass,3356.6,269,2
3,19,-60,SS,5,C4,perennial,late,grass,3590.95,259,10
1,2,-20,AP,3,C3,perennial,late,forb,3824.75,252,3
1,2,-20,BI,2,C4,perennial,late,grass,3951.45,273,30
1,2,-20,CM,3,C3,annual,early,forb,3824.75,181,39
1,2,-20,CS,1,C3,perennial,early,forb,997.1,143,2
1,2,-20,DO,1,C3,perennial,early,grass,1119.1,158,1
1,2,-20,SE,4,C3,perennial,late,forb,4081.5,278,55
1,2,-20,SN,5,C4,perennial,late,grass,3910.35,271,2
1,2,-20,SS,5,C4,perennial,late,grass,4117.9,276,5
3,20,50,AP,5,C3,perennial,late,forb,3400,256,3
3,20,50,CF,1,C3,annual,early,forb,2076.1,217,8
3,20,50,CM,2,C3,annual,early,forb,3538.05,195,54
3,20,50,CS,2,C3,perennial,early,forb,1404,139,8
3,20,50,DO,2,C3,perennial,early,grass,1918.95,140,3
3,20,50,ES,2,C3,annual,early,forb,1404,147,8
3,20,50,SC,1,C4,perennial,late,grass,3734.65,301,3
3,20,50,SE,1,C3,perennial,late,forb,3852.2,225,44
3,20,50,SN,2,C4,perennial,late,grass,3538.05,262,3
3,20,50,SS,5,C4,perennial,late,grass,3908.65,242,26
3,21,-40,AP,5,C3,perennial,late,forb,3894,238,2
3,21,-40,CF,3,C3,annual,early,forb,2400.25,203,1
3,21,-40,CM,3,C3,annual,early,forb,4129.35,175,66
3,21,-40,CS,3,C3,perennial,early,forb,1066.7,146,14
3,21,-40,DO,1,C3,perennial,early,grass,1407.25,133,2
3,21,-40,ES,3,C3,annual,early,forb,1407.25,136,24
3,21,-40,SE,2,C3,perennial,late,forb,4368.75,256,47
3,21,-40,SS,4,C4,perennial,late,grass,3894,280,1
1,3,-40,AP,2,C3,perennial,late,forb,3993.7,238,8
1,3,-40,BI,3,C4,perennial,late,grass,4159.3,259,21
1,3,-40,CM,1,C3,annual,early,forb,3837.65,196,10
1,3,-40,CS,4,C3,perennial,early,forb,1277.5,143,9
1,3,-40,DO,5,C3,perennial,early,grass,1277.5,133,2
1,3,-40,ES,2,C3,annual,early,forb,1628.55,133,73
1,3,-40,SE,4,C3,perennial,late,forb,4395.25,237,70
1,3,-40,SS,4,C4,perennial,late,grass,3925.75,273,78
1,4,-60,AP,2,C3,perennial,late,forb,3738.4,236,18
1,4,-60,BI,1,C4,perennial,late,grass,3738.4,259,18
1,4,-60,CF,1,C3,annual,early,forb,2399.65,203,6
1,4,-60,CM,1,C3,annual,early,forb,3559.6,183,53
1,4,-60,DO,4,C3,perennial,early,grass,1803.75,133,5
1,4,-60,ES,1,C3,annual,early,forb,1386.4,133,8
1,4,-60,SE,4,C3,perennial,late,forb,3888.95,181,104
1,4,-60,SN,3,C4,perennial,late,grass,3236.85,258,21
1,4,-60,SS,3,C4,perennial,late,grass,3888.95,248,7
1,5,0,AP,3,C3,perennial,late,forb,3179.65,238,1
1,5,0,CF,1,C3,annual,early,forb,2974.5,196,15
1,5,0,CM,3,C3,annual,early,forb,3179.65,186,20
1,5,0,DO,4,C3,perennial,early,grass,1385.9,135,3
1,5,0,ES,1,C3,annual,early,forb,1482.25,147,9
1,5,0,SE,2,C3,perennial,late,forb,3513.1,217,20
1,5,0,SN,5,C4,perennial,late,grass,3179.65,263,3
1,5,0,SS,4,C4,perennial,late,grass,3555.2,260,9
1,6,-100,AP,2,C3,perennial,late,forb,1072.05,267,6
1,6,-100,BI,1,C4,perennial,late,grass,1072.05,269,12
1,6,-100,CF,4,C3,annual,early,forb,1054.2,197,38
1,6,-100,CM,1,C3,annual,early,forb,1054.2,183,40
1,6,-100,CS,1,C3,perennial,early,forb,849.5,133,60
1,6,-100,DO,2,C3,perennial,early,grass,998.55,133,3
1,6,-100,ES,1,C3,annual,early,forb,998.55,133,33
1,6,-100,SE,3,C3,perennial,late,forb,1072.05,178,36
1,6,-100,SS,5,C4,perennial,late,grass,1072.05,237,6
1,7,-80,CF,3,C3,annual,early,forb,1702.85,195,5
1,7,-80,CM,1,C3,annual,early,forb,3066.4,200,38
1,7,-80,DO,1,C3,perennial,early,grass,661.9,136,1
1,7,-80,SE,1,C3,perennial,late,forb,3506.6,290,10
1,7,-80,SS,1,C4,perennial,late,grass,3506.6,248,4
2,8,-40,AP,5,C3,perennial,late,forb,3756.05,256,3
2,8,-40,BI,1,C4,perennial,late,grass,3683.35,266,45
2,8,-40,CF,3,C3,annual,early,forb,1896.1,199,2
2,8,-40,CM,4,C3,annual,early,forb,3527.7,186,13
2,8,-40,CS,5,C3,perennial,early,forb,1179.9,149,21
2,8,-40,DO,3,C3,perennial,early,grass,1316.4,138,3
2,8,-40,ES,1,C3,annual,early,forb,1365.35,134,7
2,8,-40,SE,4,C3,perennial,late,forb,3875.65,281,58
2,8,-40,SS,3,C4,perennial,late,grass,3989.15,262,27
2,9,-80,CF,2,C3,annual,early,forb,1909.65,199,2
2,9,-80,CM,1,C3,annual,early,forb,2457.55,186,27
2,9,-80,DO,1,C3,perennial,early,grass,1776.6,140,2
2,9,-80,ES,1,C3,annual,early,forb,1501.25,136,2
2,9,-80,SE,2,C3,perennial,late,forb,2675.2,234,12
2,9,-80,SN,1,C4,perennial,late,grass,2585.95,269,1
2,9,-80,SS,2,C4,perennial,late,grass,2541.8,262,2